Gene	Num
LRRC58	1
MEGF10	1
ANKZF1	1
CD163	1
PARL	1
AKR7A2	1
HNRNPK	1
DYRK3	1
FARSA	1
DBX2	1
NUP93	1
CACNG2	1
ADAMTS1	1
MAGEA11	1
PPP3CA	1
EXT1	1
NPAS2	1
CHAT	1
KIRREL3	1
LZTS1	1
FBXO11	1
KIF26B	1
C1QA	1
ACOT9	1
STAT5A	1
AP3S2	1
COL24A1	1
MAPKBP1	1
FAM118B	1
PRAMEF15	1
OR51A4	1
RAPGEF2	1
SNX21	1
AP1G1	1
ATP6V1C1	1
ADARB1	1
DHX40	1
ADGRA2	1
FOXM1	1
CXXC4	1
XPOT	1
S1PR4	1
TPI1	1
MKL2	1
KBTBD8	1
SETD8	1
KNTC1	1
ADGRE2	1
SRY	1
SLC9A4	1
CLCN4	1
C11orf70	1
GRAMD1C	1
CFAP44	1
SPHKAP	1
BCAN	1
KRBOX4	1
TBL1X	1
MTMR3	1
HLA-B	1
UBTF	1
STC1	1
SMARCC2	1
TSG101	1
NFE2	1
CLEC11A	1
SYTL2	1
KIF4A	1
STRC	1
TAPBP	1
USP10	1
TRIM35	1
PUS1	1
KLHL31	1
SUPT3H	1
CHAF1A	1
SLC28A1	1
NPAT	1
GRK5	1
ZNF813	1
DNAH3	1
LDB1	1
CYP19A1	1
TNNI1	1
PCDHGA5	1
ANXA11	1
C11orf94	1
HRC	1
CNOT6L	1
LTBR	1
MICAL2	1
OR5P2	1
KANK4	1
ZNF780B	1
SORCS3	1
TCF20	1
STEAP2	1
PLEKHG6	1
TCF7	1
NLRP3	1
PDZD2	1
ZNF205	1
RIF1	1
KPTN	1
MAP4	1
MAGEA4	1
SBK1	1
FLNA	1
TDRD1	1
ENO2	1
PAPPA2	1
THSD1	1
DST	1
RPGRIP1	1
LRRC43	1
ZNF420	1
PDC	1
PCDHGB6	1
DOCK8	1
SLC17A7	1
CDAN1	1
ARL11	1
TIGD7	1
NBPF1	1
LEO1	1
HDAC4	1
ARHGEF18	1
FBXL12	1
WAPAL	1
JAK3	1
ETV1	1
DNMT1	1
MAGED1	1
CFHR2	1
TTLL2	1
ITCH	1
SLC22A23	1
RAB2B	1
KCNC1	1
HEATR4	1
CNTNAP2	1
ESRP1	1
COL6A3	1
RPL27	1
USP6	1
HORMAD2	1
CADM3	1
PLP2	1
APBB3	1
TTC4	1
PIK3AP1	1
ZNF683	1
C4orf36	1
RTN4RL1	1
RABL2B	1
IGF2R	1
TMEM47	1
LMX1A	1
EPHA10	1
ARHGAP21	1
GC	1
ZNF460	1
MRE11A	1
CAMTA1	1
FOXI1	1
ZNF8	1
RBM48	1
LRRFIP2	1
CLN3	1
KMT2B	1
SHANK1	1
DLD	1
C6	1
OR2H2	1
FCGR3A	1
C17orf97	1
MED29	1
SCFD2	1
TLE3	1
EXOG	1
FNIP2	1
CAMKK1	1
AQP5	1
GNB3	1
GTPBP1	1
SPTBN4	1
WDR35	1
SIPA1L3	1
ZNF518B	1
CACNB2	1
CAMK4	1
MEF2D	1
MON2	1
NAPSA	1
CALR	1
KRT39	1
KDR	1
CTR9	1
PFKFB1	1
SLFNL1	1
ANKRD44	1
DSEL	1
MYH1	1
ASUN	1
LRP6	1
ARHGEF9	1
CAMKV	1
TMC1	1
HNF4G	1
WSCD1	1
IQGAP3	1
IGLV3-27	1
KRT13	1
PITPNC1	1
C20orf24	1
SLC27A6	1
TMEM138	1
NLRC4	1
MYB	1
MED21	1
AQP9	1
SELO	1
NPHP1	1
IPO4	1
SUFU	1
PLOD2	1
HIPK1	1
PHKG1	1
LRRTM2	1
FAM160A2	1
TUBB1	1
GIGYF1	1
ANKRD12	1
TUSC3	1
USP5	1
MED13	1
TRPM3	1
GUCY2D	1
PTCD1	1
DNMT3B	1
FBXO42	1
ITSN2	1
BAIAP2L1	1
NRF1	1
KRT19	1
ELP2	1
CLASP2	1
PPFIA3	1
SLC44A5	1
LMTK2	1
TRIO	1
CLDN11	1
ADGRE3	1
DUOXA2	1
GDAP2	1
NODAL	1
GNB1	1
TNN	1
STK33	1
BTG1	1
PTK2B	1
CWH43	1
KIF22	1
ADGRA3	1
SMEK1	1
KCTD1	1
BTAF1	1
SLC22A16	1
E2F8	1
GJA4	1
ITGB1BP1	1
POLR2E	1
BAX	1
PRB1	1
FTHL17	1
NPTXR	1
CYP26A1	1
SHB	1
MAEL	1
GRWD1	1
ITGAL	1
MID2	1
PIWIL4	1
RBMY1A1	1
HIST1H3D	1
CENPE	1
TMEM256-PLSCR3	1
ETV2	1
TMEM136	1
BMPER	1
KHDRBS3	1
TNKS1BP1	1
ROBO2	1
SULT1B1	1
ZNF423	1
LPCAT3	1
APBA2	1
SRSF11	1
AGXT2	1
LRRC16A	1
FAM47A	1
NEK10	1
SEPT10	1
ECHDC3	1
PROM2	1
TRIM65	1
FBN2	1
GRK7	1
GLTSCR1	1
UTRN	1
FAM127B	1
SERPINB4	1
ZNF133	1
TMEM132D	1
PPP2R2B	1
DPEP3	1
KIAA1614	1
MRPL43	1
PTCD3	1
ANKFY1	1
RPS6KA1	1
ACP2	1
USP34	1
TUBB3	1
CYP2C18	1
DCLK1	1
NPIPB5	1
TUBA1B	1
SLC25A24	1
GOLGA6L9	1
VTN	1
SIGLEC1	1
DNAJC7	1
MYH4	1
MS4A6A	1
RASSF1	1
KCNT1	1
TXNIP	1
MYCBP2	1
CELF5	1
SPESP1	1
EXOSC3	1
ZNF519	1
ITSN1	1
ADAMTS17	1
CCDC183	1
RP13-1032I1.10	1
AURKC	1
SCN5A	1
ZAN	1
MAP3K11	1
OR52D1	1
NAA38	1
SLC1A1	1
ODF4	1
CRACR2A	1
LILRA2	1
ZNF74	1
DDX50	1
SERINC4	1
AKAP12	1
UTP20	1
TRPC5	1
SNX11	1
DNAH2	1
TMEM2	1
ADD1	1
LRRC15	1
ATP11B	1
LYAR	1
CEACAM5	1
NEK5	1
MAP3K14	1
NEURL4	1
ALDH4A1	1
RGSL1	1
NLRP14	1
GALNTL6	1
ATP6V1D	1
RWDD1	1
FBXW12	1
TNFRSF11A	1
RNF5	1
ACKR3	1
MAMLD1	1
NHS	1
WDFY4	1
DLX6	1
DLG5	1
OAS2	1
EPB41L4A	1
IGHV3-33	1
PCDHB3	1
GPC6	1
THADA	1
DMRT3	1
TET1	1
AQP7	1
CREG2	1
CCDC67	1
COL4A6	1
FBXO31	1
HTT	1
CD34	1
ASAP2	1
DBX1	1
VPS13C	1
IAH1	1
MNDA	1
NLRP2	1
CLEC5A	1
SLC6A20	1
MCHR2	1
TMEM108	1
WDR27	1
ASB15	1
CHUK	1
LY75	1
ICMT	1
LDHC	1
KIF16B	1
ZNF669	1
C10orf120	1
NLRP1	1
ENTPD1	1
ASAP1	1
NPAS3	1
GAPVD1	1
CBLC	1
MCHR1	1
SLC43A3	1
SMPDL3A	1
PHLPP1	1
PPP3R2	1
TMX2	1
LPPR4	1
PCSK5	1
OAS3	1
MAP7D2	1
C3	1
VWA3B	1
POU5F1	1
R3HCC1L	1
PTPRZ1	1
RBFOX2	1
TXNDC17	1
TAF2	1
VLDLR	1
LAMA4	1
OTOP1	1
OR4B1	1
SLC23A3	1
IQGAP2	1
ZNF783	1
TLR4	1
ACAN	1
GPSM1	1
SMAD4	1
QSOX1	1
TXLNG	1
MSMO1	1
COX11	1
ZSWIM6	1
PCDHA8	1
ZNF638	1
CFTR	1
OR5AS1	1
TRIM15	1
LCMT2	1
CASC5	1
HELZ	1
PRPF3	1
MBIP	1
MRGPRX2	1
STYXL1	1
TAAR8	1
C17orf85	1
PTH1R	1
LARP1B	1
ARHGEF5	1
PKNOX1	1
NUDT22	1
NUP62	1
IL36A	1
GEMIN4	1
PLXND1	1
ITPRIP	1
MUC5B	1
SLC18A1	1
MYC	1
TRPM6	1
DNMBP	1
TRA2B	1
CSNK1G1	1
ZNF667	1
OR1A2	1
TAF6L	1
FAXDC2	1
POLG	1
NACA2	1
COL4A5	1
TLN1	1
MASP1	1
PI4KA	1
BEST3	1
CYP2B6	1
STAG1	1
IMMT	1
OR8B12	1
TBC1D8	1
TM4SF5	1
NFRKB	1
ECD	1
GRIN2B	1
GRM4	1
HBP1	1
FAM135B	1
MBOAT1	1
RASGRP2	1
GRM2	1
FKBP8	1
ANGPTL2	1
TRIM28	1
PMFBP1	1
HSD3B1	1
HZGJ	1
USH2A	1
AGBL2	1
WDR46	1
ZNF776	1
UNC79	1
DHX38	1
ZNF556	1
ZNF250	1
RPTN	1
CALML4	1
PAGR1	1
BLMH	1
KCNH8	1
ARID1A	1
UFSP2	1
KLF17	1
ACOXL	1
PRDX2	1
CPXM2	1
KRT4	1
ZNF577	1
PIP5K1C	1
CYP4F12	1
OXA1L	1
TMEM102	1
LILRA4	1
LGALS4	1
GABRG2	1
MECR	1
RP11-35N6.1	1
CDH20	1
COL2A1	1
EPB41L2	1
TFAM	1
SYNE4	1
ITGB1BP2	1
ZNF761	1
FCHO2	1
SLC24A4	1
SLAMF9	1
ZFC3H1	1
ARHGEF1	1
SSC5D	1
SLC22A8	1
BMP2K	1
PDZRN3	1
FERD3L	1
BAZ1B	1
PLXNA2	1
OFD1	1
RMND5B	1
RELN	1
ZNF354A	1
KLHL18	1
B4GALT2	1
LAS1L	1
JOSD2	1
IFNLR1	1
ARHGAP32	1
POU3F2	1
CCR10	1
TEKT1	1
HYAL4	1
BCR	1
XRRA1	1
TOP1	1
STX19	1
EPC2	1
CPNE9	1
CPXM1	1
CTC1	1
C6orf106	1
RTKN	1
FAM151A	1
CNOT3	1
PPP2R3C	1
PCDHA5	1
RAP1GDS1	1
EPHA3	1
MTUS2	1
PKN3	1
ITPR3	1
SRCIN1	1
KIAA1045	1
WIPF1	1
BCL11A	1
MYO5B	1
FAM167A	1
MASP2	1
UNC5A	1
RAPGEF6	1
NUFIP1	1
MYD88	1
DSCAM	1
FLOT2	1
AMZ1	1
SLC6A3	1
TNNC2	1
BOD1L1	1
SLAMF7	1
ECM2	1
NUP155	1
ARMC4	1
METTL7A	1
ZC3H18	1
PRKCG	1
SH2B1	1
NCOA5	1
SSSCA1	1
OR52L1	1
CHST6	1
OR2AJ1	1
TUBA3D	1
CCNA1	1
ASPH	1
EPGN	1
ZNF148	1
GPR174	1
GON4L	1
TBC1D21	1
SETX	1
GLI3	1
SUDS3	1
SLITRK3	1
ANKRD50	1
PIGU	1
CCDC84	1
HMP19	1
RGL1	1
SDC2	1
SLC47A2	1
SERPINA4	1
UBR2	1
TJP1	1
CEACAM21	1
ASS1	1
CHRNA2	1
TAX1BP1	1
SCARA3	1
RAP1B	1
ANGPT2	1
DPYSL5	1
YWHAZ	1
AACS	1
TRANK1	1
PCF11	1
RNF38	1
ADAMTS18	1
CD3G	1
N4BP1	1
TUBA3E	1
CLSTN1	1
SLC22A7	1
FREM1	1
MMP24	1
CC2D1A	1
TRIP10	1
SERPINA10	1
TPM3	1
HSH2D	1
HNRNPH1	1
UBR4	1
APLNR	1
SLC22A10	1
PDE7B	1
LYRM5	1
TECRL	1
RLN3	1
FRMPD3	1
ALAS2	1
PABPC1	1
CC2D2A	1
MFSD2A	1
NCAN	1
ARHGEF4	1
KIF15	1
PEAR1	1
SSTR4	1
SLC17A3	1
DIAPH2	1
EZH2	1
SIX6	1
TRIM71	1
SOS2	1
FAM117A	1
GPM6B	1
DIO2	1
ITGAD	1
CEP76	1
PRDM16	1
MDM2	1
SCAF1	1
EFHC2	1
CELSR1	1
GBP1	1
LMAN2	1
SH3BP4	1
XKR4	1
TAS2R60	1
SYNRG	1
GPR101	1
PPP4R4	1
DDX60L	1
SPATA31A3	1
SLC1A6	1
RAVER2	1
DNAH7	1
SLC39A7	1
DEPDC5	1
ARHGAP18	1
KCNA2	1
PLA2G2D	1
IGHG2	1
COL11A2	1
LCE3C	1
SURF1	1
MKRN2	1
TBC1D8B	1
HIAT1	1
GDF5	1
ATP13A5	1
CCDC180	1
AFG3L2	1
NEBL	1
IRGC	1
SEPT6	1
SNRPA1	1
ADAMTS9	1
PRDX6	1
ADAM11	1
SPAG4	1
EEA1	1
SH2B2	1
BTBD16	1
RAD23A	1
CCNB1	1
SLC35G3	1
SPAM1	1
TTC26	1
ATP2C1	1
GNA15	1
NCKAP5	1
CXCR6	1
RHOBTB1	1
TRIM27	1
CCDC168	1
GRM8	1
SUPT20H	1
MAGEB10	1
ATP6V1C2	1
ZCCHC11	1
DPY19L1	1
DENND1C	1
VSIG4	1
IZUMO1R	1
STOML1	1
F8	1
DESI1	1
ROS1	1
ALG6	1
CBFB	1
C7orf31	1
ZBTB44	1
TDRD10	1
COL18A1	1
NTRK3	1
MUC4	1
STARD13	1
SEMA3A	1
DPH2	1
CATSPER1	1
SH2B3	1
TCEANC	1
DGKD	1
CASKIN2	1
ZNF214	1
VCAN	1
ALDH1A3	1
POLR1B	1
WNT10A	1
CFAP61	1
FAM161B	1
TMEM119	1
AMT	1
IGHG3	1
FLRT1	1
DDX26B	1
KLF15	1
ZBTB16	1
CIC	1
DUOX1	1
GAS7	1
RIN3	1
AGAP4	1
KCNA3	1
MYO3A	1
CCDC40	1
DSC2	1
CDC42BPB	1
SLC2A6	1
CAMK2G	1
RABEP1	1
FMN2	1
UNC13A	1
CHMP1B	1
FSIP2	1
SUGCT	1
HIVEP2	1
CDK2	1
P2RX7	1
TAF9B	1
BICD1	1
RIN2	1
RAD51	1
PCDH15	1
FAM166A	1
GLI1	1
SPTY2D1	1
IP6K3	1
SNX1	1
ST6GALNAC4	1
CSMD3	1
IGF2	1
TTC7B	1
NRTN	1
KIR3DX1	1
MOSPD2	1
ANKRD30A	1
CDC16	1
ABCA4	1
RXFP4	1
MTCL1	1
GBP4	1
ZNF33B	1
CELF1	1
CNOT6	1
ARL3	1
TNR	1
GALNT2	1
KATNB1	1
ZSCAN25	1
EIF2B4	1
BMPR2	1
TFR2	1
NUGGC	1
SYT5	1
IDE	1
RP11-407N17.3	1
ALK	1
PRRC2B	1
UPP2	1
MDM1	1
NBEAL1	1
CX3CR1	1
DCTD	1
KIAA0141	1
NRN1	1
DNHD1	1
SLC22A6	1
FEZF1	1
TOPBP1	1
IFI35	1
MCM3	1
HS3ST3B1	1
OXER1	1
RAB24	1
MED1	1
PCDHGA1	1
SNRNP200	1
CCT8L2	1
GOLGA6L10	1
GYS1	1
INVS	1
RBM14	1
RPL32	1
PPP2R3A	1
MEFV	1
TNNT2	1
LEPROTL1	1
ANKRD17	1
KPRP	1
TTC33	1
RNF135	1
TRGV9	1
TMEM50A	1
GOLGA6B	1
ABCG1	1
LENG1	1
CST6	1
